RegionID,RegionName,StateName,2022-07-31,2022-08-31,2022-09-30
102001,United States,"",2065.2757477873,2078.546078035531,2084.0842102969277
394913,"New York, NY",NY,3308.9385741613687,3327.647323396976,3321.2717165468084
753899,"Los Angeles, CA",CA,2999.7778693273854,3013.211793762253,3019.026316315519
394463,"Chicago, IL",IL,1930.8115784610002,1939.37043938302,1941.9337863157243
394514,"Dallas, TX",TX,1866.3787887315943,1876.7159825501478,1875.8446429326814
394692,"Houston, TX",TX,1619.7584971746237,1626.961921178584,1627.8866087573601
395209,"Washington, DC",VA,2288.5285832425157,2304.8806712572027,2309.5450379597273
394856,"Miami, FL",FL,2896.3537273603624,2899.035362653832,2912.0968535567017
394974,"Philadelphia, PA",PA,1828.5580082982608,1840.6569247094756,1843.2929588809334
394347,"Atlanta, GA",GA,1998.896968390904,2015.554298580357,2024.0969873695503
394976,"Phoenix, AZ",AZ,1960.6094284250526,1957.504248277811,1950.7710996926614
394404,"Boston, MA",MA,2851.3017881556284,2876.6470121401435,2901.9936834953464
395057,"San Francisco, CA",CA,3306.4049631274065,3310.754349825165,3303.7007008068585
395025,"Riverside, CA",CA,2642.795959103199,2643.7462056533404,2647.2197762110477
394532,"Detroit, MI",MI,1485.19775803608,1489.9857895396965,1494.764751255397
395078,"Seattle, WA",WA,2367.521832916734,2377.0030057098493,2368.30620131675
394865,"Minneapolis, MN",MN,1653.2127541408058,1653.852129558384,1651.8852384698066
395056,"San Diego, CA",CA,3146.5076368077034,3182.5684163065375,3191.4604398253305
395148,"Tampa, FL",FL,2161.695862640951,2163.8332165854094,2167.4217994797723
394530,"Denver, CO",CO,2048.1777919119695,2049.8629286519986,2046.3243870077627
395121,"St. Louis, MO",MO,1305.278775084684,1314.50014209928,1315.103945472772
394358,"Baltimore, MD",MD,1822.2292703764595,1821.392673538654,1814.7625343590048
394458,"Charlotte, NC",NC,1850.047551601531,1860.8104512976313,1860.9826468485967
394943,"Orlando, FL",FL,2099.290195207301,2109.430898742589,2102.5699596869595
395055,"San Antonio, TX",TX,1526.4989147538988,1531.9046567719433,1532.5130086799154
394998,"Portland, OR",OR,1966.5190523327528,1976.7377966259976,1979.0542381290657
395045,"Sacramento, CA",CA,2339.3229466343637,2346.6456952390768,2341.5942119255023
394775,"Las Vegas, NV",NV,1905.849559533505,1892.18601809076,1871.386764838865
394982,"Pittsburgh, PA",PA,1338.302265976457,1352.6419690509204,1351.18699591275
394355,"Austin, TX",TX,1947.034965608251,1953.9588008797407,1950.1136126136919
394466,"Cincinnati, OH",OH,1462.2245842998268,1476.4238410397936,1479.2029821231213
394735,"Kansas City, MO",MO,1381.0249586724885,1392.6838658974239,1399.6856989619198
394492,"Columbus, OH",OH,1497.6878326552517,1507.1474078595165,1509.7605728348585
394705,"Indianapolis, IN",IN,1507.0358548430233,1524.3750840430994,1530.1934606992447
394475,"Cleveland, OH",OH,1371.6850383135638,1375.4694727025162,1368.6408139297762
395059,"San Jose, CA",CA,3395.7959224007313,3424.3239309895857,3420.3152015581245
394902,"Nashville, TN",TN,1910.6087605332339,1923.8404418855043,1923.271835224224
395194,"Virginia Beach, VA",VA,1652.070492588538,1661.251747724839,1673.920271310189
395005,"Providence, RI",RI,2024.701145373582,1993.6166182854442,1968.0481453869686
394714,"Jacksonville, FL",FL,1814.829615673776,1820.7752346999405,1819.6037426698456
394862,"Milwaukee, WI",WI,1258.0835215662394,1272.1922845773822,1279.4575308892013
394935,"Oklahoma City, OK",OK,1358.977451647309,1361.0712822987318,1373.1631557910623
395012,"Raleigh, NC",NC,1805.4615664970465,1828.0915735771111,1835.6247944162437
394849,"Memphis, TN",TN,1540.0814605393205,1540.5041956633522,1542.561867127775
395022,"Richmond, VA",VA,1640.316783268988,1658.6223906445045,1668.0997267311404
394910,"New Orleans, LA",LA,1570.6454532647126,1560.7879562739909,1547.5310905025328
394807,"Louisville, KY",KY,1303.8576618040902,1314.2703358011634,1325.9328777637122
395053,"Salt Lake City, UT",UT,1747.5189454973909,1751.562425337769,1751.0779512662061
394669,"Hartford, CT",CT,1703.3234866645341,1708.7152536824879,1721.412062552518
394425,"Buffalo, NY",NY,1280.0951159107092,1287.5033353010624,1291.0479040133794
394388,"Birmingham, AL",AL,1380.7995014729818,1384.0012856974192,1389.9023444644754
394640,"Grand Rapids, MI",MI,1514.1804768739833,1516.5863049095608,1528.3720408784031
395031,"Rochester, NY",NY,1463.8015083662763,1480.597407018363,1471.79034413744
395167,"Tucson, AZ",AZ,1640.5630960283856,1657.4427204881122,1659.6823038908176
395169,"Tulsa, OK",OK,1325.9871350278356,1330.3811117544876,1318.8442138517723
394619,"Fresno, CA",CA,1992.186135674048,1990.7121212121212,2005.743414933145
753924,"Urban Honolulu, HI",HI,2690.1820670206116,2681.946428320432,2685.0003870705873
394938,"Omaha, NE",NE,1269.6579744542203,1276.569958702302,1280.4704714990173
395238,"Worcester, MA",MA,1936.7469960282324,1946.7487306768214,1942.9525526379462
394415,"Bridgeport, CT",CT,2852.115179807814,2855.525188546829,2842.209238656871
394653,"Greenville, SC",SC,1555.245664206822,1579.4621688907162,1583.3463580387495
394312,"Albuquerque, NM",NM,1578.531629043196,1581.0647885185863,1587.8482259328248
394357,"Bakersfield, CA",CA,1818.2356011478403,1808.402896100969,1787.4178945723445
394308,"Albany, NY",NY,1424.3887734553032,1441.6089378804006,1441.7179636488765
394753,"Knoxville, TN",TN,1823.3895304972239,1839.7025446112696,1851.9462298566752
394843,"McAllen, TX",TX,1135.6780606263974,1117.0671264367818,1123.6680772934753
394367,"Baton Rouge, LA",LA,1402.3922323133288,1411.1050683639794,1402.5901095729514
753906,"North Port, FL",FL,2561.281073799555,2536.6808906936494,2547.2652961858744
394908,"New Haven, CT",CT,1937.4261711525278,1943.4514907135874,1961.3228900513755
394486,"Columbia, SC",SC,1474.7627535835652,1474.1030288836846,1484.169981983844
394318,"Allentown, PA",PA,1835.2329984605472,1840.6561475861852,1835.0189348891377
394561,"El Paso, TX",TX,1488.2518227408918,1486.2257788161994,1457.10507209357
394952,"Oxnard, CA",CA,3083.7467620555963,3076.189322501088,3122.2130050114633
394457,"Charleston, SC",SC,1910.0954749923983,1940.783081559953,1960.3302249488981
394440,"Cape Coral, FL",FL,2178.5813208976138,2178.7903995223865,2194.1469411215267
394648,"Greensboro, NC",NC,1518.3905774517127,1520.740828223181,1530.6626331556897
394399,"Boise City, ID",ID,1887.2426663420595,1889.1726516665674,1872.3821751915466
395134,"Stockton, CA",CA,2554.765442378133,2552.0711342001396,2553.0231011952806
394484,"Colorado Springs, CO",CO,1910.1134424659706,1911.448309737311,2039.690324689565
394798,"Little Rock, AR",AR,1188.8321274020404,1193.4573421347616,1198.7345242214458
394766,"Lakeland, FL",FL,1910.1672873743926,1916.2812343617952,1912.7984996618354
394531,"Des Moines, IA",IA,1249.706929268663,1256.5719917287013,1258.4211770762665
394304,"Akron, OH",OH,1229.6879995987133,1240.6309056956118,1236.1958189814209
395115,"Springfield, MA",MA,1534.8450452845236,1563.326455026455,1556.120786356625
394931,"Ogden, UT",UT,1788.94652105842,1790.7715453827332,1770.8948956728645
394528,"Deltona, FL",FL,1969.9626194945292,1978.830149976712,1982.4305439899074
395235,"Winston, NC",NC,1647.8979419130405,1649.1732128829535,1671.0575054885428
394816,"Madison, WI",WI,1400.7416985663274,1402.2148595455358,1399.247528697674
395006,"Provo, UT",UT,1787.377153915209,1795.4804232804233,1815.3138018140603
394549,"Durham, NC",NC,1724.8618302358823,1735.8529006729887,1735.9143214350684
395143,"Syracuse, NY",NY,1467.6902829626843,1475.2284511784512,1484.5300266065894
395224,"Wichita, KS",KS,990.7779111662111,1000.7008041132334,1003.3462176097696
395160,"Toledo, OH",OH,1316.6716075722597,1325.0772946859904,1312.2335030918475
394352,"Augusta, GA",GA,1377.592882225235,1388.0092403435099,1385.6846288639238
394957,"Palm Bay, FL",FL,2004.702255527207,2018.5113697792192,2017.9977278949877
394711,"Jackson, MS",MS,1421.4386263742006,1431.7003523608175,1446.0297337468137
394666,"Harrisburg, PA",PA,1367.0601639583333,1372.9208955223883,1379.6409194324244
395113,"Spokane, WA",WA,1551.7386026543452,1548.1053273203909,1518.978793889073
394460,"Chattanooga, TN",TN,1612.8099124757227,1606.5926661882947,1607.7186386723174
395075,"Scranton, PA",PA,1241.6432143940176,1273.7072406759905,1294.474444916842
394871,"Modesto, CA",CA,2115.7070176114644,2140.1186186186183,2131.9288783738157
